Timestamp (s),Test,Volts (V),Position(m),Velocity (m/s)

139.119913,slow-forward,0,1145.945908,0
139.124731,slow-forward,3.7e-05,1145.945908,0
139.129724,slow-forward,0.001241,1145.945908,0
139.1347,slow-forward,0.002489,1145.945908,0
139.139846,slow-forward,0.003733,1145.945908,0
139.144753,slow-forward,0.00502,1145.945908,0
139.149715,slow-forward,0.006247,1145.945908,0
139.154706,slow-forward,0.007487,1145.945908,0
139.159749,slow-forward,0.008735,1145.945908,0
139.164838,slow-forward,0.009996,1145.945908,0
139.16974,slow-forward,0.011268,1145.945908,0
139.174833,slow-forward,0.012493,1145.945908,0
139.179739,slow-forward,0.013767,1145.945908,0
139.1847,slow-forward,0.014993,1145.945908,0
139.189723,slow-forward,0.016233,1145.945908,0
139.194697,slow-forward,0.017489,1145.945908,0
139.199738,slow-forward,0.018733,1145.945908,0
139.204784,slow-forward,0.019993,1145.945908,0
139.209707,slow-forward,0.021254,1145.945908,0
139.214696,slow-forward,0.022485,1145.945908,0
139.219731,slow-forward,0.023733,1145.945908,0
139.224749,slow-forward,0.024991,1145.945908,0
139.229771,slow-forward,0.026246,1145.945908,0
139.234754,slow-forward,0.027501,1145.945908,0
139.239791,slow-forward,0.028747,1145.945908,0
139.244794,slow-forward,0.030006,1145.945908,0
139.249775,slow-forward,0.031257,1145.945908,0
139.254754,slow-forward,0.032502,1145.945908,0
139.259769,slow-forward,0.033747,1145.945908,0
139.264727,slow-forward,0.035001,1145.945908,0
139.269768,slow-forward,0.03624,1145.945908,0
139.274749,slow-forward,0.037501,1145.945908,0
139.2798,slow-forward,0.038746,1145.945908,0
139.284731,slow-forward,0.040008,1145.945908,0
139.289763,slow-forward,0.041241,1145.945908,0
139.294768,slow-forward,0.042499,1145.945908,0
139.299806,slow-forward,0.043751,1145.945908,0
139.304764,slow-forward,0.04501,1145.945908,0
139.309723,slow-forward,0.04625,1145.945908,0
139.314775,slow-forward,0.047489,1145.945908,0
139.319852,slow-forward,0.048752,1145.945908,0
139.3248,slow-forward,0.050021,1145.945908,0
139.329829,slow-forward,0.051258,1145.945908,0
139.334798,slow-forward,0.052516,1145.945908,0
139.339749,slow-forward,0.053758,1145.945908,0
139.344829,slow-forward,0.054996,1145.945908,0
139.349793,slow-forward,0.056266,1145.945908,0
139.354704,slow-forward,0.057507,1145.945908,0
139.359803,slow-forward,0.058734,1145.945908,0
139.364857,slow-forward,0.060009,1145.945908,0
139.369723,slow-forward,0.061273,1145.945908,0
139.3747,slow-forward,0.062489,1145.945908,0
139.379872,slow-forward,0.063733,1145.945908,0
139.384712,slow-forward,0.065027,1145.945908,0
139.38974,slow-forward,0.066237,1145.945908,0
139.394831,slow-forward,0.067493,1145.945908,0
139.399739,slow-forward,0.068766,1145.945908,0
139.404794,slow-forward,0.069993,1145.945908,0
139.409829,slow-forward,0.071257,1145.945908,0
139.414715,slow-forward,0.072516,1145.945908,0
139.419876,slow-forward,0.073737,1145.945908,0
139.424713,slow-forward,0.075027,1145.945908,0
139.429716,slow-forward,0.076237,1145.945908,0
139.434805,slow-forward,0.077487,1145.945908,0
139.439863,slow-forward,0.07876,1145.945908,0
139.444745,slow-forward,0.080024,1145.945908,0
139.449853,slow-forward,0.081245,1145.945908,0
139.454807,slow-forward,0.082522,1145.945908,0
